Application Version SamplingRate Effort simple_preds time time_est conj_total conj_pdg_metric_pruned conj_ub_est_pruned conj_computed conj_interesting disj_total disj_pdg_metric_pruned disj_ub_est_pruned disj_computed disj_interesting top_compl num_perf_compl num_perf_simple top_simple compl_cr compl_cr_is_top_perf compl_cr_pruned_conj compl_cr_pruned_disj time_compl_cr simple_cr simple_cr_is_top_perf
tot_info 1 1 1 417 19 0 86736 62128 1359 23249 10756 86736 62128 18042 6566 226 0.90584 103 2 0.903186 1 1 21946 24585 1 0 1
tot_info 1 1 2 417 125 0 86736 51371 1551 33814 15838 86736 51371 26125 9240 505 0.90814 116 2 0.903186 1 1 31267 35340 3 0 1
tot_info 1 1 5 417 52 0 86736 38439 2150 46147 21105 86736 38439 35907 12390 706 0.90814 147 2 0.903186 1 1 42738 48270 4 0 1
tot_info 1 1 10 417 54 0 86736 16617 3700 66419 30401 86736 16617 51663 18456 992 0.912417 189 2 0.903186 1 1 64686 70092 3 0 1
tot_info 1 1.01 5 478 53 0 114003 50401 2317 61285 27658 114003 50401 48735 14867 748 0.90814 87 1 0.903186 1 1 57549 63584 4 0 1
tot_info 1 2 5 596 150 0 177310 78250 515 98545 48811 177310 78250 46288 52772 217 0.891168 0 0 0.865223 2 0 76302 99043 16 0 0
tot_info 1 5 5 557 94 1 154846 69354 307 85185 36479 154846 69354 27313 58179 164 0.84294 0 0 0.798248 2 0 43550 85478 27 0 0
tot_info 1 10 5 546 116 0 148785 61310 404 87071 27094 148785 61310 26817 60658 255 0.787585 0 0 0.739765 2 0 36975 87463 39 0 0
tot_info 1 100 5 408 116 0 83028 30006 1803 51219 2654 83028 30006 32445 20577 47 0.686843 0 0 0.602604 1 0 40927 53019 15 0 0
tot_info 1 1000 5 158 8 0 12403 2959 1672 7772 172 12403 2959 7366 2078 0 0.512284 0 0 0.410614 1 0 6691 9437 1 0 0
tot_info 2 1 1 298 12 0 44253 32102 5495 6656 306 44253 32102 11982 169 2 0.995155 25 1 0.994781 1 1 10814 12149 1 0 1
tot_info 2 1 2 298 13 0 44253 25752 8336 10165 484 44253 25752 18275 226 2 0.995155 27 1 0.994781 1 1 16413 18499 1 0 1
tot_info 2 1 5 298 19 0 44253 20571 11379 12303 600 44253 20571 23431 251 2 0.995164 36 1 0.994781 1 1 23599 23680 0 0 1
tot_info 2 1 10 298 28 0 44253 8611 17707 17935 1098 44253 8611 35273 369 3 0.995164 93 1 0.994781 1 1 33509 35635 1 0 1
tot_info 2 1.01 5 342 23 0 58311 27960 16264 14087 591 58311 27960 30093 258 2 0.995178 39 1 0.994781 1 1 30261 30349 0 0 1
tot_info 2 2 5 437 152 1 95266 44824 24901 25541 569 95266 44824 50166 276 0 0.994802 32 1 0.994753 1 1 50299 50441 1 0 1
tot_info 2 5 5 433 38 0 93528 43194 15917 34417 892 93528 43194 50112 222 0 0.994731 26 1 0.994664 1 1 50224 50333 0 0 1
tot_info 2 10 5 432 39 0 93096 39704 16002 37390 734 93096 39704 53047 345 0 0.994357 15 1 0.993711 1 1 53286 53391 0 0 1
